Solucao 1
No:4 | Peso: 25
No:321 | Peso: 48
No:323 | Peso: 48
No:326 | Peso: 47
No:327 | Peso: 20
No:329 | Peso: 30
No:330 | Peso: 25
No:334 | Peso: 41
No:336 | Peso: 37
No:337 | Peso: 40
No:338 | Peso: 30
No:339 | Peso: 39
No:340 | Peso: 29
No:341 | Peso: 46
No:344 | Peso: 29
No:346 | Peso: 21
No:348 | Peso: 25
No:351 | Peso: 31
No:352 | Peso: 25
No:353 | Peso: 49
No:355 | Peso: 34
No:358 | Peso: 21
No:359 | Peso: 20
No:360 | Peso: 31
No:361 | Peso: 21
No:364 | Peso: 30
No:365 | Peso: 25
No:367 | Peso: 33
No:371 | Peso: 27
No:374 | Peso: 45
No:375 | Peso: 46
No:379 | Peso: 36
No:380 | Peso: 32
No:383 | Peso: 24
No:384 | Peso: 23
No:386 | Peso: 28
No:389 | Peso: 27
No:393 | Peso: 30
No:400 | Peso: 38
No:401 | Peso: 37
No:403 | Peso: 48
No:407 | Peso: 40
No:410 | Peso: 28
No:412 | Peso: 20
No:413 | Peso: 35
No:415 | Peso: 34
No:416 | Peso: 25
No:417 | Peso: 35
No:422 | Peso: 43
No:425 | Peso: 22
No:427 | Peso: 49
No:432 | Peso: 42
No:434 | Peso: 48
No:438 | Peso: 25
No:439 | Peso: 24
No:442 | Peso: 28
No:445 | Peso: 30
No:447 | Peso: 23
No:448 | Peso: 42
No:449 | Peso: 43
No:450 | Peso: 22
No:453 | Peso: 30
No:458 | Peso: 45
No:460 | Peso: 30
No:463 | Peso: 35
No:465 | Peso: 32
No:466 | Peso: 20
No:467 | Peso: 35
No:468 | Peso: 36
No:469 | Peso: 42
No:471 | Peso: 29
No:475 | Peso: 28
No:478 | Peso: 28
No:487 | Peso: 32
No:488 | Peso: 29
No:489 | Peso: 27
No:491 | Peso: 22
No:492 | Peso: 21
No:494 | Peso: 44
No:495 | Peso: 42
Soma dos pesos da solução: 6871
--------
Solucao 2
No:10 | Peso: 31
No:11 | Peso: 35
No:14 | Peso: 20
No:17 | Peso: 23
No:22 | Peso: 37
No:31 | Peso: 28
No:37 | Peso: 35
No:41 | Peso: 44
No:43 | Peso: 45
No:44 | Peso: 38
No:45 | Peso: 34
No:47 | Peso: 30
No:51 | Peso: 42
No:52 | Peso: 22
No:53 | Peso: 44
No:54 | Peso: 22
No:57 | Peso: 25
No:59 | Peso: 26
No:60 | Peso: 23
No:62 | Peso: 41
No:64 | Peso: 45
No:66 | Peso: 27
No:69 | Peso: 30
No:73 | Peso: 49
No:77 | Peso: 42
No:82 | Peso: 20
No:83 | Peso: 23
No:84 | Peso: 42
No:91 | Peso: 40
No:92 | Peso: 41
No:93 | Peso: 26
No:95 | Peso: 49
No:96 | Peso: 23
No:97 | Peso: 49
No:98 | Peso: 49
No:101 | Peso: 23
No:105 | Peso: 26
No:106 | Peso: 21
No:107 | Peso: 22
No:110 | Peso: 23
No:113 | Peso: 25
No:114 | Peso: 39
No:115 | Peso: 20
No:118 | Peso: 44
No:120 | Peso: 45
No:122 | Peso: 47
No:125 | Peso: 34
No:127 | Peso: 34
No:128 | Peso: 27
No:131 | Peso: 40
No:133 | Peso: 30
No:139 | Peso: 35
No:146 | Peso: 31
No:147 | Peso: 36
No:152 | Peso: 24
No:155 | Peso: 32
No:156 | Peso: 26
No:160 | Peso: 37
No:165 | Peso: 33
No:166 | Peso: 25
No:167 | Peso: 48
No:169 | Peso: 26
No:172 | Peso: 42
No:173 | Peso: 28
No:174 | Peso: 33
No:175 | Peso: 41
No:176 | Peso: 22
No:177 | Peso: 47
No:179 | Peso: 30
No:181 | Peso: 23
No:182 | Peso: 47
No:183 | Peso: 35
No:187 | Peso: 46
No:189 | Peso: 48
No:190 | Peso: 25
No:191 | Peso: 20
No:192 | Peso: 21
No:193 | Peso: 22
No:194 | Peso: 48
No:196 | Peso: 29
No:197 | Peso: 24
No:198 | Peso: 23
No:200 | Peso: 44
No:201 | Peso: 32
No:202 | Peso: 41
No:204 | Peso: 23
No:206 | Peso: 42
No:207 | Peso: 46
No:208 | Peso: 33
No:211 | Peso: 29
No:212 | Peso: 24
No:217 | Peso: 29
No:218 | Peso: 44
No:219 | Peso: 44
No:222 | Peso: 27
No:224 | Peso: 20
No:227 | Peso: 39
No:228 | Peso: 29
No:229 | Peso: 30
No:230 | Peso: 31
No:231 | Peso: 47
No:233 | Peso: 35
No:235 | Peso: 40
No:237 | Peso: 36
No:238 | Peso: 31
No:239 | Peso: 27
No:241 | Peso: 39
No:242 | Peso: 33
No:249 | Peso: 35
No:250 | Peso: 32
No:252 | Peso: 29
No:258 | Peso: 29
No:259 | Peso: 34
No:260 | Peso: 42
No:262 | Peso: 36
No:265 | Peso: 32
No:267 | Peso: 38
No:268 | Peso: 48
No:273 | Peso: 37
No:274 | Peso: 35
No:275 | Peso: 28
No:277 | Peso: 35
No:278 | Peso: 28
No:281 | Peso: 25
No:282 | Peso: 25
No:283 | Peso: 44
No:285 | Peso: 31
No:286 | Peso: 38
No:287 | Peso: 35
No:290 | Peso: 35
No:291 | Peso: 37
No:292 | Peso: 26
No:293 | Peso: 47
No:297 | Peso: 30
No:298 | Peso: 24
No:300 | Peso: 32
No:304 | Peso: 33
No:306 | Peso: 21
No:312 | Peso: 36
No:314 | Peso: 41
No:315 | Peso: 36
No:319 | Peso: 25
No:320 | Peso: 43
No:323 | Peso: 48
No:327 | Peso: 20
No:336 | Peso: 37
No:338 | Peso: 30
No:340 | Peso: 29
No:342 | Peso: 42
No:343 | Peso: 27
No:346 | Peso: 21
No:348 | Peso: 25
No:352 | Peso: 25
No:354 | Peso: 32
No:356 | Peso: 31
No:357 | Peso: 40
No:358 | Peso: 21
No:359 | Peso: 20
No:362 | Peso: 39
No:363 | Peso: 32
No:366 | Peso: 28
No:371 | Peso: 27
No:374 | Peso: 45
No:375 | Peso: 46
No:376 | Peso: 25
No:378 | Peso: 39
No:379 | Peso: 36
No:383 | Peso: 24
No:384 | Peso: 23
No:387 | Peso: 31
No:390 | Peso: 23
No:393 | Peso: 30
No:396 | Peso: 27
No:397 | Peso: 30
No:398 | Peso: 46
No:401 | Peso: 37
No:406 | Peso: 20
No:409 | Peso: 35
No:411 | Peso: 42
No:412 | Peso: 20
No:417 | Peso: 35
No:418 | Peso: 28
No:419 | Peso: 36
No:423 | Peso: 27
No:425 | Peso: 22
No:426 | Peso: 38
No:428 | Peso: 27
No:429 | Peso: 37
No:432 | Peso: 42
No:433 | Peso: 35
No:435 | Peso: 44
No:439 | Peso: 24
No:441 | Peso: 38
No:442 | Peso: 28
No:445 | Peso: 30
No:448 | Peso: 42
No:450 | Peso: 22
No:451 | Peso: 42
No:452 | Peso: 21
No:455 | Peso: 41
No:457 | Peso: 28
No:460 | Peso: 30
No:461 | Peso: 20
No:466 | Peso: 20
No:470 | Peso: 23
No:471 | Peso: 29
No:476 | Peso: 38
No:477 | Peso: 38
No:482 | Peso: 26
No:483 | Peso: 34
No:484 | Peso: 34
No:493 | Peso: 27
No:495 | Peso: 42
Soma dos pesos da solução: 6985
--------
Solucao 3
No:8 | Peso: 48
No:12 | Peso: 44
No:24 | Peso: 22
No:38 | Peso: 32
No:45 | Peso: 34
No:51 | Peso: 42
No:57 | Peso: 25
No:60 | Peso: 23
No:61 | Peso: 40
No:62 | Peso: 41
No:64 | Peso: 45
No:65 | Peso: 22
No:68 | Peso: 38
No:69 | Peso: 30
No:72 | Peso: 40
No:74 | Peso: 22
No:75 | Peso: 40
No:77 | Peso: 42
No:78 | Peso: 46
No:80 | Peso: 36
No:81 | Peso: 22
No:82 | Peso: 20
No:83 | Peso: 23
No:84 | Peso: 42
No:86 | Peso: 26
No:88 | Peso: 32
No:89 | Peso: 28
No:91 | Peso: 40
No:96 | Peso: 23
No:101 | Peso: 23
No:102 | Peso: 41
No:104 | Peso: 27
No:105 | Peso: 26
No:106 | Peso: 21
No:107 | Peso: 22
No:109 | Peso: 32
No:110 | Peso: 23
No:120 | Peso: 45
No:122 | Peso: 47
No:123 | Peso: 30
No:124 | Peso: 30
No:125 | Peso: 34
No:128 | Peso: 27
No:129 | Peso: 23
No:130 | Peso: 36
No:133 | Peso: 30
No:134 | Peso: 30
No:136 | Peso: 31
No:147 | Peso: 36
No:148 | Peso: 37
No:149 | Peso: 42
No:150 | Peso: 30
No:153 | Peso: 46
No:154 | Peso: 39
No:155 | Peso: 32
No:156 | Peso: 26
No:157 | Peso: 30
No:158 | Peso: 44
No:159 | Peso: 42
No:160 | Peso: 37
No:162 | Peso: 44
No:167 | Peso: 48
No:170 | Peso: 39
No:173 | Peso: 28
No:183 | Peso: 35
No:187 | Peso: 46
No:188 | Peso: 40
No:190 | Peso: 25
No:192 | Peso: 21
No:194 | Peso: 48
No:196 | Peso: 29
No:197 | Peso: 24
No:198 | Peso: 23
No:201 | Peso: 32
No:202 | Peso: 41
No:205 | Peso: 35
No:206 | Peso: 42
No:208 | Peso: 33
No:211 | Peso: 29
No:212 | Peso: 24
No:213 | Peso: 33
No:214 | Peso: 39
No:221 | Peso: 29
No:223 | Peso: 46
No:224 | Peso: 20
No:227 | Peso: 39
No:229 | Peso: 30
No:230 | Peso: 31
No:233 | Peso: 35
No:234 | Peso: 35
No:235 | Peso: 40
No:237 | Peso: 36
No:238 | Peso: 31
No:241 | Peso: 39
No:245 | Peso: 46
No:246 | Peso: 46
No:247 | Peso: 37
No:248 | Peso: 33
No:249 | Peso: 35
No:252 | Peso: 29
No:258 | Peso: 29
No:259 | Peso: 34
No:260 | Peso: 42
No:261 | Peso: 23
No:263 | Peso: 22
No:264 | Peso: 37
No:265 | Peso: 32
No:267 | Peso: 38
No:269 | Peso: 48
No:271 | Peso: 23
No:272 | Peso: 48
No:273 | Peso: 37
No:276 | Peso: 45
No:282 | Peso: 25
No:283 | Peso: 44
No:284 | Peso: 47
No:288 | Peso: 42
No:291 | Peso: 37
No:292 | Peso: 26
No:293 | Peso: 47
No:297 | Peso: 30
No:298 | Peso: 24
No:300 | Peso: 32
No:302 | Peso: 38
No:305 | Peso: 28
No:313 | Peso: 26
No:315 | Peso: 36
No:318 | Peso: 25
No:320 | Peso: 43
No:322 | Peso: 45
No:325 | Peso: 33
No:329 | Peso: 30
No:332 | Peso: 30
No:333 | Peso: 22
No:334 | Peso: 41
No:336 | Peso: 37
No:339 | Peso: 39
No:340 | Peso: 29
No:341 | Peso: 46
No:343 | Peso: 27
No:346 | Peso: 21
No:347 | Peso: 20
No:351 | Peso: 31
No:357 | Peso: 40
No:358 | Peso: 21
No:360 | Peso: 31
No:363 | Peso: 32
No:365 | Peso: 25
No:368 | Peso: 34
No:369 | Peso: 26
No:371 | Peso: 27
No:373 | Peso: 35
No:376 | Peso: 25
No:377 | Peso: 38
No:381 | Peso: 46
No:382 | Peso: 45
No:383 | Peso: 24
No:390 | Peso: 23
No:392 | Peso: 38
No:393 | Peso: 30
No:394 | Peso: 28
No:396 | Peso: 27
No:399 | Peso: 23
No:400 | Peso: 38
No:402 | Peso: 35
No:403 | Peso: 48
No:404 | Peso: 49
No:406 | Peso: 20
No:407 | Peso: 40
No:409 | Peso: 35
No:411 | Peso: 42
No:412 | Peso: 20
No:414 | Peso: 37
No:420 | Peso: 47
No:421 | Peso: 46
No:423 | Peso: 27
No:427 | Peso: 49
No:429 | Peso: 37
No:432 | Peso: 42
No:438 | Peso: 25
No:439 | Peso: 24
No:442 | Peso: 28
No:448 | Peso: 42
No:452 | Peso: 21
No:454 | Peso: 26
No:455 | Peso: 41
No:456 | Peso: 43
No:461 | Peso: 20
No:462 | Peso: 32
No:466 | Peso: 20
No:468 | Peso: 36
No:469 | Peso: 42
No:472 | Peso: 29
No:474 | Peso: 43
No:475 | Peso: 28
No:478 | Peso: 28
No:482 | Peso: 26
No:484 | Peso: 34
No:485 | Peso: 46
No:486 | Peso: 44
No:487 | Peso: 32
No:489 | Peso: 27
No:490 | Peso: 21
No:496 | Peso: 26
No:498 | Peso: 29
No:499 | Peso: 36
No:500 | Peso: 30
Soma dos pesos da solução: 6950
--------
Solucao 4
No:8 | Peso: 48
No:17 | Peso: 23
No:22 | Peso: 37
No:27 | Peso: 35
No:31 | Peso: 28
No:44 | Peso: 38
No:53 | Peso: 44
No:58 | Peso: 43
No:59 | Peso: 26
No:60 | Peso: 23
No:65 | Peso: 22
No:67 | Peso: 29
No:77 | Peso: 42
No:79 | Peso: 37
No:80 | Peso: 36
No:82 | Peso: 20
No:85 | Peso: 42
No:96 | Peso: 23
No:102 | Peso: 41
No:113 | Peso: 25
No:115 | Peso: 20
No:119 | Peso: 23
No:121 | Peso: 44
No:125 | Peso: 34
No:128 | Peso: 27
No:129 | Peso: 23
No:133 | Peso: 30
No:136 | Peso: 31
No:137 | Peso: 45
No:142 | Peso: 42
No:143 | Peso: 49
No:144 | Peso: 24
No:152 | Peso: 24
No:154 | Peso: 39
No:155 | Peso: 32
No:156 | Peso: 26
No:159 | Peso: 42
No:161 | Peso: 37
No:162 | Peso: 44
No:175 | Peso: 41
No:176 | Peso: 22
No:179 | Peso: 30
No:186 | Peso: 35
No:192 | Peso: 21
No:193 | Peso: 22
No:198 | Peso: 23
No:200 | Peso: 44
No:202 | Peso: 41
No:205 | Peso: 35
No:207 | Peso: 46
No:211 | Peso: 29
No:213 | Peso: 33
No:214 | Peso: 39
No:219 | Peso: 44
No:222 | Peso: 27
No:224 | Peso: 20
No:226 | Peso: 43
No:227 | Peso: 39
No:229 | Peso: 30
No:232 | Peso: 44
No:233 | Peso: 35
No:234 | Peso: 35
No:235 | Peso: 40
No:236 | Peso: 32
No:237 | Peso: 36
No:239 | Peso: 27
No:242 | Peso: 33
No:244 | Peso: 38
No:246 | Peso: 46
No:247 | Peso: 37
No:248 | Peso: 33
No:251 | Peso: 49
No:253 | Peso: 28
No:254 | Peso: 43
No:257 | Peso: 44
No:258 | Peso: 29
No:259 | Peso: 34
No:260 | Peso: 42
No:261 | Peso: 23
No:262 | Peso: 36
No:263 | Peso: 22
No:264 | Peso: 37
No:268 | Peso: 48
No:269 | Peso: 48
No:270 | Peso: 21
No:271 | Peso: 23
No:272 | Peso: 48
No:273 | Peso: 37
No:275 | Peso: 28
No:276 | Peso: 45
No:279 | Peso: 23
No:285 | Peso: 31
No:287 | Peso: 35
No:288 | Peso: 42
No:293 | Peso: 47
No:294 | Peso: 34
No:295 | Peso: 24
No:297 | Peso: 30
No:299 | Peso: 25
No:300 | Peso: 32
No:302 | Peso: 38
No:303 | Peso: 34
No:304 | Peso: 33
No:305 | Peso: 28
No:307 | Peso: 41
No:316 | Peso: 48
No:317 | Peso: 41
No:318 | Peso: 25
No:319 | Peso: 25
No:320 | Peso: 43
No:322 | Peso: 45
No:325 | Peso: 33
No:327 | Peso: 20
No:328 | Peso: 22
No:332 | Peso: 30
No:333 | Peso: 22
No:336 | Peso: 37
No:337 | Peso: 40
No:338 | Peso: 30
No:339 | Peso: 39
No:340 | Peso: 29
No:341 | Peso: 46
No:342 | Peso: 42
No:344 | Peso: 29
No:347 | Peso: 20
No:350 | Peso: 26
No:352 | Peso: 25
No:353 | Peso: 49
No:354 | Peso: 32
No:355 | Peso: 34
No:359 | Peso: 20
No:360 | Peso: 31
No:361 | Peso: 21
No:363 | Peso: 32
No:365 | Peso: 25
No:368 | Peso: 34
No:369 | Peso: 26
No:371 | Peso: 27
No:372 | Peso: 30
No:373 | Peso: 35
No:376 | Peso: 25
No:380 | Peso: 32
No:381 | Peso: 46
No:382 | Peso: 45
No:386 | Peso: 28
No:388 | Peso: 40
No:389 | Peso: 27
No:390 | Peso: 23
No:391 | Peso: 47
No:393 | Peso: 30
No:395 | Peso: 28
No:396 | Peso: 27
No:397 | Peso: 30
No:399 | Peso: 23
No:400 | Peso: 38
No:402 | Peso: 35
No:403 | Peso: 48
No:404 | Peso: 49
No:405 | Peso: 49
No:407 | Peso: 40
No:409 | Peso: 35
No:414 | Peso: 37
No:416 | Peso: 25
No:419 | Peso: 36
No:421 | Peso: 46
No:424 | Peso: 23
No:428 | Peso: 27
No:429 | Peso: 37
No:431 | Peso: 45
No:433 | Peso: 35
No:436 | Peso: 30
No:438 | Peso: 25
No:439 | Peso: 24
No:442 | Peso: 28
No:447 | Peso: 23
No:448 | Peso: 42
No:449 | Peso: 43
No:450 | Peso: 22
No:452 | Peso: 21
No:454 | Peso: 26
No:457 | Peso: 28
No:458 | Peso: 45
No:461 | Peso: 20
No:462 | Peso: 32
No:463 | Peso: 35
No:464 | Peso: 45
No:465 | Peso: 32
No:466 | Peso: 20
No:467 | Peso: 35
No:468 | Peso: 36
No:469 | Peso: 42
No:470 | Peso: 23
No:472 | Peso: 29
No:475 | Peso: 28
No:477 | Peso: 38
No:479 | Peso: 42
No:480 | Peso: 25
No:482 | Peso: 26
No:484 | Peso: 34
No:485 | Peso: 46
No:487 | Peso: 32
No:489 | Peso: 27
No:491 | Peso: 22
No:492 | Peso: 21
No:493 | Peso: 27
No:494 | Peso: 44
No:495 | Peso: 42
No:496 | Peso: 26
No:497 | Peso: 42
No:498 | Peso: 29
Soma dos pesos da solução: 7006
--------
Solucao 5
No:12 | Peso: 44
No:18 | Peso: 45
No:22 | Peso: 37
No:24 | Peso: 22
No:28 | Peso: 36
No:29 | Peso: 31
No:30 | Peso: 34
No:31 | Peso: 28
No:32 | Peso: 27
No:37 | Peso: 35
No:40 | Peso: 39
No:44 | Peso: 38
No:45 | Peso: 34
No:47 | Peso: 30
No:50 | Peso: 38
No:52 | Peso: 22
No:55 | Peso: 43
No:59 | Peso: 26
No:60 | Peso: 23
No:61 | Peso: 40
No:62 | Peso: 41
No:63 | Peso: 37
No:64 | Peso: 45
No:65 | Peso: 22
No:66 | Peso: 27
No:69 | Peso: 30
No:70 | Peso: 25
No:71 | Peso: 31
No:75 | Peso: 40
No:79 | Peso: 37
No:85 | Peso: 42
No:90 | Peso: 49
No:93 | Peso: 26
No:94 | Peso: 42
No:96 | Peso: 23
No:100 | Peso: 26
No:103 | Peso: 24
No:105 | Peso: 26
No:108 | Peso: 41
No:110 | Peso: 23
No:113 | Peso: 25
No:115 | Peso: 20
No:116 | Peso: 39
No:119 | Peso: 23
No:121 | Peso: 44
No:125 | Peso: 34
No:128 | Peso: 27
No:130 | Peso: 36
No:131 | Peso: 40
No:136 | Peso: 31
No:137 | Peso: 45
No:138 | Peso: 45
No:139 | Peso: 35
No:141 | Peso: 24
No:144 | Peso: 24
No:145 | Peso: 20
No:147 | Peso: 36
No:148 | Peso: 37
No:152 | Peso: 24
No:153 | Peso: 46
No:161 | Peso: 37
No:165 | Peso: 33
No:171 | Peso: 44
No:172 | Peso: 42
No:173 | Peso: 28
No:175 | Peso: 41
No:176 | Peso: 22
No:177 | Peso: 47
No:179 | Peso: 30
No:180 | Peso: 23
No:181 | Peso: 23
No:184 | Peso: 43
No:189 | Peso: 48
No:191 | Peso: 20
No:192 | Peso: 21
No:194 | Peso: 48
No:198 | Peso: 23
No:204 | Peso: 23
No:207 | Peso: 46
No:208 | Peso: 33
No:209 | Peso: 48
No:210 | Peso: 30
No:212 | Peso: 24
No:215 | Peso: 33
No:216 | Peso: 40
No:217 | Peso: 29
No:218 | Peso: 44
No:219 | Peso: 44
No:220 | Peso: 47
No:222 | Peso: 27
No:224 | Peso: 20
No:225 | Peso: 38
No:226 | Peso: 43
No:227 | Peso: 39
No:228 | Peso: 29
No:230 | Peso: 31
No:231 | Peso: 47
No:232 | Peso: 44
No:234 | Peso: 35
No:239 | Peso: 27
No:240 | Peso: 28
No:244 | Peso: 38
No:245 | Peso: 46
No:246 | Peso: 46
No:252 | Peso: 29
No:254 | Peso: 43
No:255 | Peso: 35
No:257 | Peso: 44
No:262 | Peso: 36
No:263 | Peso: 22
No:268 | Peso: 48
No:270 | Peso: 21
No:273 | Peso: 37
No:275 | Peso: 28
No:276 | Peso: 45
No:279 | Peso: 23
No:281 | Peso: 25
No:285 | Peso: 31
No:291 | Peso: 37
No:292 | Peso: 26
No:293 | Peso: 47
No:297 | Peso: 30
No:298 | Peso: 24
No:300 | Peso: 32
No:301 | Peso: 27
No:304 | Peso: 33
No:305 | Peso: 28
No:306 | Peso: 21
No:309 | Peso: 35
No:312 | Peso: 36
No:313 | Peso: 26
No:315 | Peso: 36
No:317 | Peso: 41
No:318 | Peso: 25
No:319 | Peso: 25
No:320 | Peso: 43
No:324 | Peso: 33
No:325 | Peso: 33
No:333 | Peso: 22
No:335 | Peso: 35
No:336 | Peso: 37
No:337 | Peso: 40
No:339 | Peso: 39
No:340 | Peso: 29
No:344 | Peso: 29
No:347 | Peso: 20
No:349 | Peso: 48
No:354 | Peso: 32
No:355 | Peso: 34
No:356 | Peso: 31
No:358 | Peso: 21
No:359 | Peso: 20
No:360 | Peso: 31
No:361 | Peso: 21
No:362 | Peso: 39
No:363 | Peso: 32
No:366 | Peso: 28
No:368 | Peso: 34
No:370 | Peso: 49
No:372 | Peso: 30
No:374 | Peso: 45
No:379 | Peso: 36
No:380 | Peso: 32
No:387 | Peso: 31
No:390 | Peso: 23
No:391 | Peso: 47
No:397 | Peso: 30
No:399 | Peso: 23
No:401 | Peso: 37
No:404 | Peso: 49
No:405 | Peso: 49
No:406 | Peso: 20
No:408 | Peso: 23
No:412 | Peso: 20
No:416 | Peso: 25
No:419 | Peso: 36
No:422 | Peso: 43
No:423 | Peso: 27
No:425 | Peso: 22
No:426 | Peso: 38
No:428 | Peso: 27
No:432 | Peso: 42
No:436 | Peso: 30
No:439 | Peso: 24
No:442 | Peso: 28
No:450 | Peso: 22
No:451 | Peso: 42
No:452 | Peso: 21
No:453 | Peso: 30
No:455 | Peso: 41
No:457 | Peso: 28
No:458 | Peso: 45
No:461 | Peso: 20
No:462 | Peso: 32
No:467 | Peso: 35
No:468 | Peso: 36
No:470 | Peso: 23
No:471 | Peso: 29
No:472 | Peso: 29
No:474 | Peso: 43
No:475 | Peso: 28
No:476 | Peso: 38
No:479 | Peso: 42
No:482 | Peso: 26
No:487 | Peso: 32
No:488 | Peso: 29
No:489 | Peso: 27
No:491 | Peso: 22
No:493 | Peso: 27
No:494 | Peso: 44
No:497 | Peso: 42
No:498 | Peso: 29
Soma dos pesos da solução: 7011
--------
Solucao 6
No:12 | Peso: 44
No:14 | Peso: 20
No:15 | Peso: 22
No:20 | Peso: 34
No:26 | Peso: 33
No:28 | Peso: 36
No:29 | Peso: 31
No:35 | Peso: 40
No:37 | Peso: 35
No:38 | Peso: 32
No:39 | Peso: 45
No:40 | Peso: 39
No:43 | Peso: 45
No:45 | Peso: 34
No:47 | Peso: 30
No:49 | Peso: 33
No:50 | Peso: 38
No:54 | Peso: 22
No:55 | Peso: 43
No:58 | Peso: 43
No:59 | Peso: 26
No:62 | Peso: 41
No:64 | Peso: 45
No:66 | Peso: 27
No:68 | Peso: 38
No:74 | Peso: 22
No:79 | Peso: 37
No:80 | Peso: 36
No:82 | Peso: 20
No:83 | Peso: 23
No:84 | Peso: 42
No:85 | Peso: 42
No:86 | Peso: 26
No:87 | Peso: 33
No:88 | Peso: 32
No:89 | Peso: 28
No:91 | Peso: 40
No:92 | Peso: 41
No:94 | Peso: 42
No:96 | Peso: 23
No:97 | Peso: 49
No:100 | Peso: 26
No:102 | Peso: 41
No:104 | Peso: 27
No:106 | Peso: 21
No:108 | Peso: 41
No:112 | Peso: 29
No:113 | Peso: 25
No:114 | Peso: 39
No:115 | Peso: 20
No:118 | Peso: 44
No:119 | Peso: 23
No:125 | Peso: 34
No:128 | Peso: 27
No:131 | Peso: 40
No:132 | Peso: 42
No:134 | Peso: 30
No:137 | Peso: 45
No:138 | Peso: 45
No:141 | Peso: 24
No:146 | Peso: 31
No:147 | Peso: 36
No:148 | Peso: 37
No:150 | Peso: 30
No:151 | Peso: 35
No:152 | Peso: 24
No:153 | Peso: 46
No:155 | Peso: 32
No:156 | Peso: 26
No:165 | Peso: 33
No:166 | Peso: 25
No:167 | Peso: 48
No:168 | Peso: 44
No:169 | Peso: 26
No:171 | Peso: 44
No:176 | Peso: 22
No:177 | Peso: 47
No:178 | Peso: 26
No:180 | Peso: 23
No:185 | Peso: 21
No:186 | Peso: 35
No:187 | Peso: 46
No:188 | Peso: 40
No:191 | Peso: 20
No:192 | Peso: 21
No:194 | Peso: 48
No:196 | Peso: 29
No:197 | Peso: 24
No:198 | Peso: 23
No:199 | Peso: 40
No:203 | Peso: 30
No:205 | Peso: 35
No:206 | Peso: 42
No:208 | Peso: 33
No:212 | Peso: 24
No:213 | Peso: 33
No:217 | Peso: 29
No:218 | Peso: 44
No:224 | Peso: 20
No:225 | Peso: 38
No:228 | Peso: 29
No:237 | Peso: 36
